Mean,MeanFiltered,Variance,VarianceFiltered,xVariance,yVariance,zVariance,xZeroCrossings,yZeroCrossings,zZeroCrossings,Peaks,PeaksFiltered,ResultantZeroCrossings,ResultantFilteredZeroCrossings,xDCComponent,yDCComponent,zDCComponent,xSpectralEnergy,ySpectralEnergy,zSpectralEnergy,TotalSpectralEnergy,xEntropy,yEntropy,zEntropy,TotalEntropy,xFFTZeroCrossings,yFFTZeroCrossings,zFFTZeroCrossings,Activity
9.879,9.861,0.083,0.029,0.026,0.031,0.078,13,14,11,22,51,25,5,4.74,1.55,6.36,5.921,212.11,112.278,330.309,19.575,1916.028,892.544,2828.147,44,41,41,Driving
9.867,9.861,0.098,0.049,0.037,0.016,0.009,10,17,16,18,16,29,13,1.42,0.179,0.077,6.401,263.517,44.173,314.091,20.266,2487.769,294.174,2802.209,37,39,44,Driving
9.864,9.847,0.103,0.046,0.04,0.023,0.009,11,12,21,19,35,25,9,2.93,2.23,0.49,4.879,156.127,46.137,207.143,14.029,1278.446,301.921,1594.396,45,43,41,Driving
9.867,9.849,0.092,0.024,0.027,0.019,0.005,13,12,13,15,17,29,3,0.319,1.38,0.141,4.513,152.039,63.045,219.597,12.196,1260.851,456.705,1729.752,48,39,40,Driving
9.852,9.824,0.253,0.093,0.073,0.039,0.024,14,16,13,1,6,37,9,0.1,3.06,0.71,9.482,285.814,187.61,482.906,34.998,2662.834,1694.579,4392.411,32,44,43,Driving
9.865,9.851,0.249,0.099,0.083,0.039,0.025,12,10,16,1,7,34,9,2.68,4.5,0.75,9.994,356.911,195.013,561.918,38.411,3390.463,1656.243,5085.117,45,40,44,Driving
9.929,9.921,0.247,0.071,0.194,0.201,0.017,9,6,15,2,55,29,7,5.25,2.1,0.27,31.893,923.315,600.431,1555.639,177.096,10940.465,6388.691,17506.252,38,36,43,Driving
9.958,9.903,0.23,0.063,0.24,0.232,0.02,4,10,13,2,59,35,5,2.78,11.88,2.85,38.142,1220.455,500.816,1759.413,226.611,14784.149,5153.211,20163.971,38,46,46,Driving
9.918,9.897,0.045,0.013,0.046,0.109,0.011,4,9,14,27,56,27,3,11.68,4.11,1.34,7.05,283.659,186.888,477.597,25.94,2726.393,1679.762,4432.095,29,41,35,Driving
9.917,9.913,0.032,0.014,0.046,0.065,0.007,7,5,8,51,62,13,3,2.59,4.75,0.99,3.775,123.53,124.317,251.622,12.556,967.386,966.437,1946.379,31,41,37,Driving
9.924,9.925,0.033,0.014,0.19,0.099,0.005,7,3,7,22,61,15,5,1.16,2.41,0.66,14.508,436.174,128.515,579.197,71.396,4385.12,1047.19,5503.706,42,37,38,Driving
9.927,9.918,0.026,0.015,0.182,0.093,0.007,8,5,9,18,14,11,1,3.82,1.81,0,14.333,340.575,173.762,528.67,68.027,3306.179,1550.134,4924.34,37,37,38,Driving
9.866,9.847,0.099,0.022,0.08,0.599,0.008,7,6,11,1,61,17,3,5.84,17.5,2.01,9.203,400.686,1620.57,2030.459,39.566,4181.888,19501.907,23723.361,35,46,40,Driving
9.79,9.755,0.117,0.019,0.07,0.517,0.005,10,4,13,1,59,27,5,2.84,23.59,1.53,8.123,257.378,1043.402,1308.903,32.408,2470.343,12325.536,14828.287,42,41,39,Driving
9.78,9.76,0.044,0.013,0.017,0.054,0.002,16,4,21,5,51,15,3,1.41,1.64,0.045,2.175,66.718,232.201,301.094,3.946,488.931,2139.812,2632.689,41,40,40,Driving
9.79,9.789,0.026,0.007,0.018,0.023,0.001,11,5,19,35,63,11,3,2.92,2.61,0.29,2.029,85.338,80.721,168.088,3.652,635.649,617.469,1256.77,39,34,47,Driving
9.791,9.776,0.023,0.007,0.036,0.079,0.001,6,7,9,31,64,13,3,2.24,0.39,0.071,2.982,163.91,146.15,313.042,9.625,1283.523,1152.046,2445.194,31,45,47,Driving
9.789,9.79,0.018,0.006,0.025,0.134,0.001,9,4,12,56,64,7,1,2.29,0.44,0,1.987,107.003,292.639,401.629,6.388,815.532,2863.398,3685.318,37,46,39,Driving
9.792,9.756,0.056,0.016,0.021,0.077,0.003,7,6,16,6,60,21,5,0.063,2.25,0.17,3.086,121.531,173.657,298.274,8.093,935.208,1473.055,2416.356,31,42,42,Driving
9.787,9.738,0.067,0.018,0.02,0.032,0.004,6,7,16,10,59,25,7,0.84,2.48,0.161,3.648,120.951,165.826,290.425,10.32,940.245,1543.296,2493.861,27,44,38,Driving
9.795,9.796,0.031,0.01,0.007,0.028,0.002,10,10,14,42,63,13,3,2.16,0.82,0.055,1.243,51.549,94.451,147.243,1.276,383.776,780.108,1165.16,29,44,34,Driving
9.786,9.793,0.027,0.01,0.004,0.025,0.002,11,9,11,30,64,13,1,0.341,1.17,0.077,0.509,13.303,64.098,77.91,-0.034,65.622,468.499,534.087,26,44,39,Driving
9.774,9.772,0.039,0.009,0.006,0.011,0.001,14,14,7,23,64,19,1,0.045,1.27,0.23,0.869,26.721,27.77,55.36,0.642,154.044,168.572,323.258,22,45,42,Driving
9.773,9.764,0.038,0.007,0.005,0.006,0.001,17,11,12,21,64,21,1,0.089,1.62,0.29,0.804,16.605,14.683,32.092,0.451,93.21,74.773,168.434,33,44,45,Driving
9.773,9.771,0.031,0.01,0.009,0.013,0.002,11,4,20,43,64,18,1,0.79,4.41,0.27,0.822,25.016,22.495,48.333,0.461,140.917,127.073,268.451,31,51,42,Driving
